DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0,0,0
5,4,5,0,0,0,0,0,0,0
6,5,6,0,0,0,0,0,0,0
7,6,7,0,0,0,0,0,0,0
8,7,8,0,0,0,0,0,0,0
9,8,9,0,0,0,0,0,0,0
10,9,10,0,0,0,0,0,0,0
11,10,11,0,0,0,0,0,0,0
12,11,12,0,0,0,0,0,0,0
13,11.25,13,0,0,0,0,0,0,0
14,12.25,14,0,0,0,0,0,0,0
15,13.25,15,0,0,0,0,0,0,0
16,14.25,16,0,0,0,0,0,0,0
17,15.25,17,0,0,0,0,0,0,0
18,16.25,18,0,0,0,0,0,0,0
19,17.25,19,0,0,0,0,0,0,0
20,18.25,20,0,0,0,0,0,0,0
21,19.25,21,0,0,0,0,0,0,0
22,20.25,22,0,0,0,0,0,0,0
23,20.64,23,0,0,0,0,0,0,0
24,21.64,24,0,0,0,0,0,0,0
25,22.64,25,0,0,0,0,0,0,0
26,23.64,26,0,0,0,0,0,0,0
27,24.64,27,0,0,0,0,0,0,0
28,25.64,28,0,0,0,0,0,0,0
29,26.64,29,0,0,0,0,0,0,0
30,27.64,30,0,0,0,0,0,0,0
31,28.64,31,0,0,0,0,0,0,0
32,29.64,32,0,0,0,0,0,0,0
33,30.64,33,0,0,0,0,0,0,0
34,31.64,34,0,0,0,0,0,0,0
35,31.93,35,0,0,0,0,0,0,0
36,32.93,36,0,0,0,0,0,0,0
37,33.93,37,0,0,0,0,0,0,0
38,34.93,38,0,0,0,0,0,0,0
39,35.93,39,0,0,0,0,0,0,0
40,36.93,40,0,0,0,0,0,0,0
41,37.93,41,0,0,0,0,0,0,0
42,38.81,42,0,0,0,0,0,0,0
43,39.81,43,0,0,0,0,0,0,0
44,40.81,44,0,0,0,0,0,0,0
45,41.81,45,0,0,0,0,0,0,0
46,42.81,46,0,0,0,0,0,0,0
47,43.81,47,0,0,0,0,0,0,0
48,44.81,48,0,0,0,0,0,0,0
49,45.81,49,0,0,0,0,0,0,0
50,46.81,50,0,0,0,0,0,0,0
51,47.81,51,0,0,0,0,0,0,0
52,48.81,52,0,0,0,0,0,0,0
53,49.81,53,0,0,0,0,0,0,0
54,50.81,54,0,0,0,0,0,0,0
55,51.81,55,0,0,0,0,0,0,0
56,52.81,56,0,0,0,0,0,0,0
57,53.81,57,0,0,0,0,0,0,0
58,54.81,58,0,0,0,0,0,0,0
59,55.81,59,0,0,0,0,0,0,0
60,56.81,60,0,0,0,0,0,0,0
