PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,2.75,-15.35,0,0,0,0
2,0,0,0,2.51,-14.38,0,0,0,0
3,0,0,0,2.27,-13.41,0,0,0,0
4,0,0,0,2.03,-12.44,0,0,0,0
5,0,0,0,1.79,-11.47,0,0,0,0
6,0,0,0,1.54,-10.5,0,0,0,0
7,0,0,0,1.3,-9.53,0,0,0,0
8,0,0,0,1.06,-8.56,0,0,0,0
9,0,0,0,0.82,-7.59,0,0,0,0
10,0,0,0,0.58,-6.62,0,0,0,0
11,0,0,0,0.33,-5.65,0,0,0,0
12,0,0,0,0.09,-4.68,0,0,0,0
13,0,0,0,0.03,-4.44,0,0,0,0
14,0,0,0,-0.07,-3.44,0,0,0,0
15,0,0,0,-0.1,-2.44,0,0,0,0
16,0,0,0,-0.08,-1.44,0,0,0,0
17,0,0,0,-0.02,-0.45,0,0,0,0
18,0,0,0,0.08,0.55,0,0,0,0
19,0,0,0,0.24,1.54,0,0,0,0
20,0,0,0,0.46,2.51,0,0,0,0
21,0,0,0,0.75,3.47,0,0,0,0
22,0,0,0,1.15,4.39,0,0,0,0
23,0,0,0,1.34,4.73,0,0,0,0
24,0,0,0,2.13,5.35,0,0,0,0
25,0,0,0,2.99,5.85,0,0,0,0
26,0,0,0,3.9,6.28,0,0,0,0
27,0,0,0,4.83,6.64,0,0,0,0
28,0,0,0,5.78,6.95,0,0,0,0
29,0,0,0,6.75,7.21,0,0,0,0
30,0,0,0,7.72,7.43,0,0,0,0
31,0,0,0,8.71,7.61,0,0,0,0
32,0,0,0,9.7,7.73,0,0,0,0
33,0,0,0,10.7,7.8,0,0,0,0
34,0,0,0,11.7,7.78,0,0,0,0
35,0,0,0,11.98,7.76,0,0,0,0
36,0,0,0,12.98,7.73,0,0,0,0
37,0,0,0,13.91,7.36,0,0,0,0
38,0,0,0,14.75,6.82,0,0,0,0
39,0,0,0,15.52,6.19,0,0,0,0
40,0,0,0,16.21,5.46,0,0,0,0
41,0,0,0,16.8,4.66,0,0,0,0
42,0,0,0,17.2,3.87,0,0,0,0
43,0,0,0,17.5,2.92,0,0,0,0
44,0,0,0,17.8,1.96,0,0,0,0
45,0,0,0,18.1,1.01,0,0,0,0
46,0,0,0,18.39,0.05,0,0,0,0
47,0,0,0,18.69,-0.9,0,0,0,0
48,0,0,0,18.99,-1.85,0,0,0,0
49,0,0,0,19.29,-2.81,0,0,0,0
50,0,0,0,19.59,-3.76,0,0,0,0
51,0,0,0,19.88,-4.72,0,0,0,0
52,0,0,0,20.18,-5.67,0,0,0,0
53,0,0,0,20.48,-6.63,0,0,0,0
54,0,0,0,20.78,-7.58,0,0,0,0
55,0,0,0,21.08,-8.54,0,0,0,0
56,0,0,0,21.38,-9.49,0,0,0,0
57,0,0,0,21.67,-10.45,0,0,0,0
58,0,0,0,21.97,-11.4,0,0,0,0
59,0,0,0,22.27,-12.35,0,0,0,0
60,0,0,0,22.57,-13.31,0,0,0,0
61,0,0,0,22.87,-14.26,0,0,0,0
62,0,0,0,23.16,-15.22,0,0,0,0
63,0,0,0,23.46,-16.17,0,0,0,0
64,0,0,0,23.76,-17.13,0,0,0,0
65,0,0,0,24.06,-18.08,0,0,0,0
66,0,0,0,24.36,-19.04,0,0,0,0
67,0,0,0,24.66,-19.99,0,0,0,0
68,0,0,0,24.95,-20.95,0,0,0,0
69,0,0,0,25.25,-21.9,0,0,0,0
70,0,0,0,25.55,-22.85,0,0,0,0
71,0,0,0,25.85,-23.81,0,0,0,0
72,0,0,0,26.15,-24.76,0,0,0,0
73,0,0,0,26.44,-25.72,0,0,0,0
74,0,0,0,26.74,-26.67,0,0,0,0
75,0,0,0,27.04,-27.63,0,0,0,0
76,0,0,0,27.34,-28.58,0,0,0,0
77,0,0,0,27.64,-29.54,0,0,0,0
78,0,0,0,27.93,-30.49,0,0,0,0
79,0,0,0,28.23,-31.44,0,0,0,0
80,0,0,0,28.53,-32.4,0,0,0,0
81,0,0,0,28.83,-33.35,0,0,0,0
82,0,0,0,29.13,-34.31,0,0,0,0
83,0,0,0,29.43,-35.26,0,0,0,0
84,0,0,0,29.72,-36.22,0,0,0,0
85,0,0,0,30.02,-37.17,0,0,0,0
86,0,0,0,30.32,-38.13,0,0,0,0
87,0,0,0,30.62,-39.08,0,0,0,0
88,0,0,0,30.92,-40.04,0,0,0,0
89,0,0,0,31.21,-40.99,0,0,0,0
90,0,0,0,31.51,-41.94,0,0,0,0
91,0,0,0,31.81,-42.9,0,0,0,0
92,0,0,0,32.11,-43.85,0,0,0,0
93,0,0,0,32.41,-44.81,0,0,0,0
94,0,0,0,32.71,-45.76,0,0,0,0
95,0,0,0,33,-46.72,0,0,0,0
96,0,0,0,33.3,-47.67,0,0,0,0
97,0,0,0,33.6,-48.63,0,0,0,0
98,0,0,0,33.9,-49.58,0,0,0,0
99,0,0,0,34.2,-50.54,0,0,0,0
100,0,0,0,34.49,-51.49,0,0,0,0
101,0,0,0,34.64,-51.95,0,0,0,0
102,0,0,0,34.44,-52.93,0,0,0,0
103,0,0,0,34.14,-53.88,0,0,0,0
104,0,0,0,33.76,-54.8,0,0,0,0
105,0,0,0,33.29,-55.69,0,0,0,0
106,0,0,0,32.77,-56.54,0,0,0,0
107,0,0,0,32.17,-57.34,0,0,0,0
108,0,0,0,31.52,-58.1,0,0,0,0
109,0,0,0,30.8,-58.8,0,0,0,0
110,0,0,0,30.01,-59.41,0,0,0,0
111,0,0,0,29.45,-59.75,0,0,0,0
112,0,0,0,28.51,-60.09,0,0,0,0
113,0,0,0,27.55,-60.37,0,0,0,0
114,0,0,0,26.58,-60.6,0,0,0,0
115,0,0,0,25.59,-60.78,0,0,0,0
116,0,0,0,24.6,-60.91,0,0,0,0
117,0,0,0,23.61,-61,0,0,0,0
118,0,0,0,22.61,-61.03,0,0,0,0
119,0,0,0,21.61,-60.99,0,0,0,0
120,0,0,0,20.61,-60.87,0,0,0,0
121,0,0,0,19.64,-60.65,0,0,0,0
122,0,0,0,19.09,-60.45,0,0,0,0
123,0,0,0,18.67,-59.54,0,0,0,0
124,0,0,0,18.26,-58.62,0,0,0,0
125,0,0,0,17.87,-57.71,0,0,0,0
126,0,0,0,17.48,-56.78,0,0,0,0
127,0,0,0,17.09,-55.86,0,0,0,0
128,0,0,0,16.72,-54.93,0,0,0,0
129,0,0,0,16.35,-54,0,0,0,0
130,0,0,0,15.98,-53.07,0,0,0,0
131,0,0,0,15.62,-52.14,0,0,0,0
132,0,0,0,15.27,-51.21,0,0,0,0
133,0,0,0,14.91,-50.27,0,0,0,0
134,0,0,0,14.56,-49.34,0,0,0,0
135,0,0,0,14.21,-48.4,0,0,0,0
136,0,0,0,13.87,-47.46,0,0,0,0
137,0,0,0,13.53,-46.52,0,0,0,0
