ID,LID,LinkID
1,1,11
2,2,10
3,3,9
4,4,8
5,5,7
6,6,6
7,7,5
8,8,4
9,9,3
10,10,2
11,11,170
12,12,170
13,13,169
14,14,167
15,15,166
16,16,165
17,17,164
18,18,163
19,19,162
20,20,161
21,21,160
22,22,159
23,23,159
24,24,158
25,25,157
26,26,156
27,27,155
28,28,154
29,29,153
30,30,152
31,31,151
32,32,150
33,33,149
34,34,148
35,35,147
36,36,146
37,37,145
38,38,144
39,39,143
40,40,142
41,41,141
42,42,140
43,43,139
44,44,138
45,45,137
46,46,136
47,47,135
48,48,134
49,49,133
50,50,132
51,51,131
52,52,130
53,53,129
54,54,128
55,55,127
56,56,126
57,57,125
58,58,124
59,59,123
60,60,122
61,61,122
62,62,122
63,63,122
64,64,121
65,65,120
66,66,119
67,67,118
68,68,118
69,69,117
70,70,116
71,71,115
72,72,114
73,73,113
74,74,112
75,75,111
76,76,111
77,77,110
78,78,109
79,79,109
80,80,108
81,81,107
82,82,107
83,83,106
84,84,105
85,85,104
86,86,104
87,87,103
88,88,102
89,89,102
90,90,102
91,91,101
92,92,101
93,93,100
94,94,99
95,95,98
96,96,97
97,97,96
98,98,95
99,99,94
100,100,93
101,101,92
102,102,91
103,103,90
104,104,89
105,105,88
106,106,87
107,107,86
108,108,85
109,109,84
110,110,83
111,111,82
112,112,81
113,113,80
114,114,79
115,115,78
116,116,77
117,117,76
118,118,75
119,119,74
120,120,73
121,121,72
122,122,71
123,123,70
124,124,69
125,125,68
126,126,67
127,127,66
128,128,65
129,129,64
130,130,63
131,131,62
132,132,61
133,133,60
134,134,59
135,135,58
136,136,57
137,137,56
138,138,55
139,139,54
140,140,53
141,141,52
142,142,51
143,143,50
144,144,49
145,145,48
146,146,47
147,147,46
148,148,45
149,149,44
150,150,43
151,151,42
152,152,42
153,153,41
154,154,40
155,155,39
156,156,39
157,157,38
158,158,37
159,159,37
160,160,36
161,161,36
162,162,34
163,163,33
164,164,32
165,165,32
166,166,30
167,167,29
168,168,29
169,169,28
170,170,27
171,171,26
172,172,25
173,173,24
174,174,24
175,175,23
176,176,23
177,177,22
178,178,21
179,179,21
180,180,20
181,181,19
182,182,18
183,183,17
184,184,16
185,185,15
186,186,14
187,187,14
188,188,13
189,189,11
190,190,98
191,191,97
192,192,96
193,193,95
194,194,94
195,195,93
196,196,92
197,197,91
198,198,90
199,199,89
200,200,88
201,201,87
202,202,86
203,203,85
204,204,84
205,205,83
206,206,82
207,207,81
208,208,80
209,209,79
210,210,78
211,211,77
212,212,76
213,213,75
214,214,74
215,215,73
216,216,72
217,217,71
218,218,70
219,219,69
220,220,68
221,221,67
222,222,66
223,223,65
224,224,64
225,225,63
226,226,62
227,227,61
228,228,60
229,229,59
230,230,58
231,231,57
232,232,56
233,233,55
234,234,54
235,235,53
236,236,52
237,237,51
238,238,50
239,239,49
240,240,48
241,241,47
242,242,46
243,243,46
244,244,45
245,245,44
246,246,43
247,247,41
248,248,40
249,249,38
250,250,35
251,251,35
252,252,33
253,253,32
254,254,30
255,255,29
256,256,28
257,257,27
258,258,26
259,259,24
260,260,20
261,261,19
262,262,18
263,263,17
264,264,16
265,265,14
266,266,12
267,267,11
268,268,10
269,269,9
270,270,9
271,271,8
272,272,7
273,273,6
274,274,5
275,275,4
276,276,3
277,277,2
278,278,1
279,279,169
280,280,168
281,281,167
282,282,166
283,283,165
284,284,164
285,285,163
286,286,162
287,287,161
288,288,160
289,289,159
290,290,158
291,291,157
292,292,156
293,293,155
294,294,154
295,295,153
296,296,152
297,297,151
298,298,150
299,299,149
300,300,148
301,301,147
302,302,146
303,303,145
304,304,144
305,305,143
306,306,142
307,307,141
308,308,140
309,309,139
310,310,138
311,311,136
312,312,135
313,313,134
314,314,133
315,315,132
316,316,131
317,317,130
318,318,129
319,319,128
320,320,127
321,321,126
322,322,125
323,323,124
324,324,124
325,325,124
326,326,119
327,327,117
328,328,116
329,329,115
330,330,114
331,331,112
332,332,109
333,333,108
334,334,106
335,335,105
336,336,105
337,337,104
338,338,102
339,339,99
